      timestep,PE,KE
56500,3.8897229e+35,1.9103059e+35
56600,3.9146986e+35,1.935261e+35
56700,3.9446727e+35,1.9652125e+35
56800,3.9748607e+35,1.9953865e+35
56900,4.0051843e+35,2.0256942e+35
57000,4.0380106e+35,2.0584991e+35
57100,4.062703e+35,2.0831839e+35
57200,4.0841931e+35,2.104663e+35
57300,4.1049854e+35,2.1254379e+35
57400,4.1103501e+35,2.1308007e+35
57500,4.1120079e+35,2.1324545e+35
57600,4.1067037e+35,2.1271386e+35
57700,4.0867176e+35,2.1071539e+35
57800,4.0679551e+35,2.0883935e+35
57900,4.0392633e+35,2.059697e+35
58000,4.0043625e+35,2.0248023e+35
58100,3.9737403e+35,1.9941833e+35
58200,3.9355431e+35,1.9559899e+35
58300,3.9025895e+35,1.9230467e+35
58400,3.8738553e+35,1.8943128e+35
58500,3.841711e+35,1.8621842e+35
58600,3.8195023e+35,1.8399911e+35
58700,3.8021065e+35,1.8225958e+35
58800,3.7868607e+35,1.8073759e+35
58900,3.7801713e+35,1.8007073e+35
59000,3.7789839e+35,1.7995314e+35
59100,3.7816708e+35,1.8022539e+35
59200,3.7924388e+35,1.8130521e+35
59300,3.809863e+35,1.8305068e+35
59400,3.8286373e+35,1.84933e+35
59500,3.855609e+35,1.8763484e+35
59600,3.8858097e+35,1.9066095e+35
59700,3.9166e+35,1.9374718e+35
59800,3.9553704e+35,1.9763093e+35
59900,3.9878786e+35,2.0089e+35
60000,4.0204554e+35,2.0415451e+35
60100,4.0561775e+35,2.0772944e+35
60200,4.07823e+35,2.0993551e+35
60300,4.0998998e+35,2.1209857e+35
60400,4.1146027e+35,2.1356089e+35
60500,4.1142434e+35,2.1351805e+35
60600,4.1136545e+35,2.1345184e+35
60700,4.1015736e+35,2.1223618e+35
60800,4.0805935e+35,2.1013315e+35
60900,4.0586463e+35,2.079334e+35
61000,4.0281349e+35,2.0487782e+35
61100,3.9983133e+35,2.018929e+35
61200,3.9693559e+35,1.9899353e+35
61300,3.9372452e+35,1.9578047e+35
61400,3.909661e+35,1.9302073e+35
61500,3.8867455e+35,1.90726e+35
61600,3.8652539e+35,1.8857647e+35
61700,3.8494231e+35,1.8699238e+35
61800,3.8410244e+35,1.861501e+35
61900,3.8331943e+35,1.8536761e+35
62000,3.8334923e+35,1.8539639e+35
62100,3.8425631e+35,1.8630203e+35
62200,3.8502734e+35,1.8707366e+35
62300,3.8681724e+35,1.8886247e+35
62400,3.8899197e+35,1.9103689e+35
62500,3.9122192e+35,1.9326724e+35
62600,3.9454963e+35,1.9659402e+35
62700,3.9741651e+35,1.9946151e+35
62800,4.0054243e+35,2.0258766e+35
62900,4.0419249e+35,2.0623699e+35
63000,4.0685101e+35,2.0889709e+35
63100,4.0979866e+35,2.1184516e+35
63200,4.1220889e+35,2.1425511e+35
63300,4.1336845e+35,2.1541678e+35
63400,4.1441758e+35,2.1646674e+35
63500,4.1441952e+35,2.1646914e+35
63600,4.1338842e+35,2.1544046e+35
63700,4.1180333e+35,2.1385661e+35
63800,4.0935126e+35,2.1140581e+35
63900,4.0637817e+35,2.0843531e+35
64000,4.0318607e+35,2.0524477e+35
64100,3.9965957e+35,2.0172097e+35
64200,3.9594025e+35,1.9800507e+35
64300,3.926669e+35,1.9473401e+35
64400,3.8937075e+35,1.914427e+35
64500,3.8638849e+35,1.8846505e+35
64600,3.8430458e+35,1.8638508e+35
64700,3.8197559e+35,1.8406365e+35
64800,3.8053113e+35,1.8262546e+35
64900,3.8005459e+35,1.8215505e+35
65000,3.7933543e+35,1.8144423e+35
65100,3.7983338e+35,1.8194733e+35
65200,3.8073093e+35,1.828482e+35
65300,3.8178428e+35,1.8390207e+35
65400,3.8409562e+35,1.8620892e+35
65500,3.8623798e+35,1.8834524e+35
65600,3.8886478e+35,1.9096377e+35
65700,3.9213945e+35,1.9422958e+35
65800,3.9498686e+35,1.9707032e+35
65900,3.9837512e+35,2.0045123e+35
66000,4.0160221e+35,2.0367178e+35
66100,4.0409001e+35,2.0615558e+35
66200,4.0651506e+35,2.0857603e+35
66300,4.0835376e+35,2.1041075e+35
66400,4.092384e+35,2.1129332e+35
66500,4.0943955e+35,2.1149203e+35
66600,4.0894437e+35,2.1099464e+35
66700,4.0739105e+35,2.0944019e+35
66800,4.0545375e+35,2.0750163e+35
66900,4.0307869e+35,2.0512564e+35
