mc,E,M,Cv,chi
937,-0.0085378869,8.0042689,256.06823,16.017058
938,-0.0085287846,8.0042644,256.06816,16.017039
939,-0.0085197018,8.0042599,256.06809,16.017021
940,-0.0085106383,8.0042553,256.06801,16.017003
941,-0.008501594,8.0042508,256.06794,16.016985
942,-0.008492569,8.0042463,256.06787,16.016967
943,-0.0084835631,8.0042418,256.0678,16.016949
944,-0.0084745763,8.0042373,256.06772,16.016931
945,-0.0084656085,8.0042328,256.06765,16.016913
946,-0.0084566596,8.0042283,256.06758,16.016895
947,-0.0084477297,8.0042239,256.06751,16.016878
948,-0.0084388186,8.0042194,256.06744,16.01686
949,-0.0084299262,8.004215,256.06737,16.016842
950,-0.0084210526,8.0042105,256.0673,16.016824
951,-0.0084121977,8.0042061,256.06723,16.016807
952,-0.0084033613,8.0042017,256.06716,16.016789
953,-0.0083945435,8.0041973,256.06709,16.016771
954,-0.0083857442,8.0041929,256.06702,16.016754
955,-0.0083769634,8.0041885,256.06695,16.016736
956,-0.0083682008,8.0041841,256.06688,16.016719
957,-0.0083594566,8.0041797,256.06681,16.016701
958,-0.0083507307,8.0041754,256.06674,16.016684
959,-0.0083420229,8.004171,256.06667,16.016667
960,-0.0083333333,8.0041667,256.0666,16.016649
961,-0.0083246618,8.0041623,256.06653,16.016632
962,-0.0083160083,8.004158,256.06646,16.016615
963,-0.0083073728,8.0041537,256.06639,16.016597
964,-0.0082987552,8.0041494,256.06632,16.01658
965,-0.0082901554,8.0041451,256.06625,16.016563
966,-0.0082815735,8.0041408,256.06618,16.016546
967,-0.0082730093,8.0041365,256.06612,16.016529
968,-0.0082644628,8.0041322,256.06605,16.016512
969,-0.008255934,8.004128,256.06598,16.016495
970,-0.0082474227,8.0041237,256.06591,16.016478
971,-0.0082389289,8.0041195,256.06584,16.016461
972,-0.0082304527,8.0041152,256.06578,16.016444
973,-0.0082219938,8.004111,256.06571,16.016427
974,-0.0082135524,8.0041068,256.06564,16.01641
975,-0.0082051282,8.0041026,256.06557,16.016393
976,-0.0081967213,8.0040984,256.06551,16.016377
977,-0.0081883316,8.0040942,256.06544,16.01636
978,-0.0081799591,8.00409,256.06537,16.016343
979,-0.0081716037,8.0040858,256.06531,16.016327
980,-0.0081632653,8.0040816,256.06524,16.01631
981,-0.0081549439,8.0040775,256.06517,16.016293
982,-0.0081466395,8.0040733,256.06511,16.016277
983,-0.008138352,8.0040692,256.06504,16.01626
984,-0.0081300813,8.004065,256.06497,16.016244
985,-0.0081218274,8.0040609,256.06491,16.016227
986,-0.0081135903,8.0040568,256.06484,16.016211
987,-0.0081053698,8.0040527,256.06478,16.016194
988,-0.008097166,8.0040486,256.06471,16.016178
989,-0.0080889788,8.0040445,256.06465,16.016162
990,-0.0080808081,8.0040404,256.06458,16.016145
991,-0.0080726539,8.0040363,256.06452,16.016129
992,-0.0080645161,8.0040323,256.06445,16.016113
993,-0.0080563948,8.0040282,256.06439,16.016097
994,-0.0080482897,8.0040241,256.06432,16.01608
995,-0.008040201,8.0040201,256.06426,16.016064
996,-0.0080321285,8.0040161,256.06419,16.016048
997,-0.0080240722,8.004012,256.06413,16.016032
998,-0.0080160321,8.004008,256.06406,16.016016
999,-0.008008008,8.004004,256.064,16.016
1000,-0.008,8.004,256.06394,16.015984
